5-hydroxytryptamin	or_5-ht
rezitieren	recite/v/to_repeat_aloud_some_passage,_poem_or_other_text_previously_memorized,_often_before_an_audience
rheinisch	of_or_pertain_to_rhineland
rheinisch	rhenish/a/of_or_relating_to_the_river_rhine
rhombus	rhombus/n/a_parallelogram_having_all_sides_of_equal_length
richtig	right/a/correct
richtlinie	directive/n/form_of_legislative_act_addressed_to_the_eu_member_states
riesengroß	giant
rigaischer_meerbusen	gulf_of_riga/n/inland_body_of_water_that_is_part_of_the_baltic_sea_in_eastern_europe_and_is_near_latvia_and_estonia
rincrescere	regret
rind	cow
ritt	ride
rohrbombe	pipe_bomb
rohr	cane/n/slender_flexible_stem_of_plants_such_as_bamboo
rohstoff	resource
roland	roland/n/male_given_name
rolle	part/n/position_or_role_{{jump|t|position_or_role|s}}
rollenspiel	roleplay_game/n/type_of_game_in_which_the_players_assume_the_role_of_a_character
romanze	romance
rondell	circular_flowerbed
rosa	pink
rosenkranz	rosary
rosenmontag	collop_monday/n/day_before_shrove_tuesday
rot	red/n/colour
roth	red
rotluchs	lynx_rufus
rotscheitel-wollrücken	rufous-capped_antshrike
rotzen	slag
routine	routine/n/course_of_action_to_be_followed_regularly
routine	routine/n/set_of_normal_procedures,_often_performed_mechanically
rüde	dog/n/male_dog
rufen	call/v/to_request,_summon,_or_beckon
rugby	rugby_football
ruhe	calm/n/the_state_with_absence_of_noise_and_disturbance
ruhen	be_suspend
rund	about
rund	approximately
rund	thick
russisch	russian/a/of_or_pertaining_to_russia
rüsten	equip
saatkrähe	rook
sabbeln	jaw
sabbeln	yap
sa	samstag_or_sonnabend
sachen	good
sackpfeife	bagpipe/n/musical_wind_instrument
sagen	say/v/to_recite
sager	comment
säkularismus	secularism
salpetersäure	nitric_acid/n/hno<sub>3</sub>
salzgurke	gherkin/n/small_cucumber
salzhaltig	saline/a/salty
salzhaltig	saline
sammet	archaic_form_of_samt
sandig	sandy/a/covered_with_sand
sandmann	sandman
sanduhr	hourglass
saniert	rehabilitate
santorin	santorini/n/greek_island
satanisch	satanic
saterfriesisch	saterland_frisian
satt	feed_up/a/frustrated
satz	set
sauerampfer	sorrel
saugen	suck
säure	acid
saustall	pigsty
s-bahn	suburban_metro_railway
schachtelhalm	horsetail/n/plant
schädel	cranium/n/skull
schadlos_halten	indemnify/v/to_make_restitution_or_compensation_for
schaf	sheep/n/animal
schale	scallop
schalenwild	hoof_game
schalldämpfer	silencer
schaltfläche	button
schandbar	shameful/a/causing_or_meriting_shame_or_disgrace
scharfzeichnung	definition/n/sharp_demarcation_of_outlines_or_limits
scharlatanerie	charlatanry/n/state_of_being_a_charlatan
scharmützel	skirmish/n/brief_battle_between_small_groups
schätzen	price
schaudern	shudder/v/to_shake_nervously,_as_if_from_fear
schauer	shiver
schaufel	shovel/n/tool_for_moving_portions_of_material
scheffel	bushel/n/vessel_of_capacity_of_a_bushel
scheinbuche	any_tree_or_shrub_of_genus_nothofagus
scheinwerfer	spotlight/n/a_bright_lamp,_especially_one_used_to_illuminate_the_center_of_attention_on_a_stage
scheiße	shit
scheißen	shit/v/to_defecate
schelf	continental_shelf/n/the_area_of_sea_around_a_land_mass
schelten	chide/v/loudly_admonish
schere	gap
scherzen	joke/v/do_for_humourous_amusement
schi	ski
schicken	be_appropriate
schienbein	shinbone/n/tibia
schießerei	shootout
schiff	nave
schiff	vessel/n/craft
schikane	bully
schikanieren	bully
schimäre	chimera
schimpanse	chimpanzee
schimpfen	tell_off
schlachthof	slaughterhouse
schläfer	sleeper/n/someone_who_sleeps
schlaff	slack
schlag	stroke/n/time_when_a_clock_strikes
schlagen	beat/v/to_hit,_to_knock,_to_pound,_to_strike
schlager	hit
schlamm	mud/n/mixture_of_soil_and_water
schlampigkeit	sluttery/n/a_slutty_act
schlange	serpent/n/snake
schlapphut	spy
schlecht	negative/a/inherently_damaging
schleiereule	barn_owl/n/an_owl_of_the_genus_''tyto''
schleppen	carry
schleppen	haul
schlepptau	tow/n/cable_used_in_towing
schlitten	sled
schlurfen	shuffle/v/to_walk_without_picking_up_one's_feet
schlüssel	key/n/device_designed_to_open_and_close_a_lock
schlussstein	keystone/n/the_top_stone_of_an_arch
schmelzkäse	process_cheese/n/any_of_several_types_of_natural_cheese
schmieden	forge
schmirgelpapier	sandpaper
schneeball	european_cranberry
schneeballschlacht	snowball_fight/n/scuffle_or_play_fight_whose_object_is_to_hit_unallied_participants_with_snowballs
schnee-eule	snowy_owl/n/large_white_owl
schneemobil	snowmobile/n/vehicle
schneiden	slice
schnell	quickly/r/rapidly,_fast
schnickschnack	bric-a-brac/n/small_ornaments_and_other_miscellaneous_items_of_little_value
schnitzen	carve/v/shape_wood
schnorcheln	snorkel
schnupftabak	snuff/n/fine-ground_tobacco
schnur	string/n/long,_thin_structure_made_from_twisted_threads
schnurgerade	straightway
schokoriegel	chocolate_bar/n/a_bar_of_chocolate
scholastik	scholasticism/n/school_of_philosophy
schomburgk-ralle	ocellated_crake
schöpferisch	creative
schopfpinguin	crest_penguin
schoppen	glass_of_wine
schotte	scotsman/n/a_man_from_scotland
schrapnell	shrapnel
schraubstock	vice
schreiben	write_out
schreiben	write/v/to_be_an_author
schreibsekretär	bureau
schreien	yell
schreiten	walk_deliberately
schrittweise	step_by_step
schroff	harsh
schtetl	shtetl/n/a_jewish_villag_or_small_town
schuhcreme	shoe_polish
schuhlöffel	shoehorn
schuhspanner	shoe_tree
schuldner	debtor
schule	school/n/an_institution_dedicated_to_teaching_and_learning
schulen	school
schultasche	satchel
schulterzucken	shrug/n/gesture
schüreisen	poker/n/metal_rod_for_poking
schuss	shoot
schutzhülle	sheet_protector/n/clear_plastic_sleeve_for_documents
schwäche	foible/n/a_quirk,_idiosyncrasy,_or_mannerism
schwächling	weakling
schwammartig	spongy/a/absorbent,_squishy,_porous
schwan	swan/n/swan
schwangerschaftstod	maternal_death/n/the_death_of_a_woman_that_occurs_directly_related_to_the_procreative_process
schwanken	fluctuate
schwänzeln	wiggle
schwanzlutscher	cocksucker/n/an_objectionable_person
schwärmen	gush
schwärmer	enthusiast_or_extremist
schwarzspecht	black_woodpecker/n/dryocopus_martius
schwarzweißfilm	black-and-white_film
schweden	sweden
schweigen_ist_gold	silence_be_golden/n/proverb
schweizer	swiss
schweizer_messer	swiss_army_knife/n/type_of_pocket_knife
schwerkraft	gravitation/n/fundamental_force_of_attraction
schwermetall	heavy_metal/n/type_of_metal
schwertfisch	swordfish/n/''xiphias_gladius''
schwiele	callus/n/hardened_part_of_the_skin
schwindeln	cheat/v/violate_rules_to_gain_advantage
schwitzen	perspiration/n/process_of_perspiring
schwuchtel	faggot/n/male_homosexual
schwul	swishy
schwung	punch/n/power,_strength,_energy
sechsundsiebzig	seventy-six/n/76
sechzehntelnote	semiquaver/n/music
sedimentologie	sedimentology/n/study_of_natural_sediments
seehahn	gurnard/n/marine_fish_of_the_family_triglidae
seekrankheit	seasickness
seelachs	light_sea_salmon
sees	lake
seeungeheuer	lake_monster
segeln	sail/v/to_ride_in_a_boat,_especially_sailboat
segment	line_segment/n/part_of_a_line
sehen	realize
sehr	way/r/very
seide	any_of_several_parasitic_vine
sein	be/v/used_to_indicate_height
seismisch	seismic
seitdem	ever_since
seite	side/n/bounding_straight_edge_of_an_object
seitenwinder-klapperschlange	sidewinder/n/snake_''crotalus_cerastes''
seither	since_then
sejm	sejm/n/the_lower_house_of_the_polish_parliament
selbstlos	selfless/a/having,_exhibiting_or_motivated_by_no_concern_for_oneself
selbst_wenn	even_if/r/irrespective_of
sell_ice_to_an_eskimo	redirectsell_ice_to_eskimo
seltsam	strange
seraphine	variant_of_seraphina
serbe	person_of_serb_descent
serbisch	serbian/a/pertaining_to_serbia_and_serbians
serialnummer	serial_number
serpentine	serpentine_mountain_road
servus	bye
sesshaft	resident
setzen	set/v/to_put_something_down
sextant	sextans/n/dim_spring_constellation_of_the_northern_sky
sexuelle_begierde	sex_drive/n/strong_motivational_tendency_to_have_sex
seychellen	seychelles/n/country_in_east_africa
she'd	redirect_she
shotmaker	player_who_be_skilled_at_make_score_even_against_skilled_defense
sich	fall_in_love/v/to_come_to_have_feelings_of_intense_liking
sich	herself/n/(reflexive_object)_her
sicher	certainly/r/emphatic_affirmative_answer
sicherheitsnadel	in_form_of_clasp
sichten	sight
sich_wie_ein_lauffeuer_verbreiten	spread_like_wildfire/v/spread_like_wildfire
sieben	sieve
siedepunkt	boil_point
sieg	victory
sigismund	bear_by_6th_century_saint
signalisieren	flag/v/to_signal_to
sinnbildlich	symbolically
sinn	sense/n/method_to_gather_data
sinn_machen	make_sense
sino-	sino-/n/relating_to_china_or_chinese
sintern	sinter
situation	situation/n/state_of_affairs
sitzen	do_time
skandalös	scandalous/a/malicious,_defamatory
skat	type_of_card_game_play_with_3_player
skepsis	skepticism
slawisch	slavic/a/of_the_slavs,_their_culture_or_languages
slowenien	slovenia/n/country_in_europe
social_anthropology	redirect_cultural_anthropology
sodass	so_that/c/in_order_to
sofaschoner	throw
sogar	even/r/implying_extreme_example
soljanka	solyanka/n/a_thick,_spicy_and_sour_soup_in_russian_and_ukrainian_cuisine
solomonisch	solomonic
somit	thus
sommerdreieck	summer_triangle/n/asterism
sonnenaufgang	sunup/n/time_of_day
sonnenbrille	sunglass/n/tinted_glasses_worn_to_protect_the_eyes_from_the_sun
sonnenfleck	sunspot/n/region_on_the_sun's_surface
sonnensystem	solar_system/n/the_sun_and_all_the_heavenly_bodies_that_orbit_around_it
sonnenuntergang	sunset
sonst	else/r/word_that_implies_any_result_with_the_exception_of_the_one_being_referred_to
sooretama-tropfenameisenwürger	sooretama_slaty_antshrike/n/bird
sophokles	sophocles/n/greek_dramatic_poet
sorge	care/n/concern_or_responsibility
sorge	trouble
soße	gravy/n/sauce
soviel	as_many
sozial	social/a/relating_to_society
spaltbar	cleavable
spalt	gap/n/opening_allowing_passage_or_entrance
sparen	save/v/economize
spaziergang	walk
specto	redirect_spectare
speichel	saliva/n/liquid_secreted_into_the_mouth
spektakulär	spectacular
speläologie	speleology
spendabel	generous
spende	donation
sperber	sparrow_hawk/n/''accipiter_nisus''
sperre	barrier
spezialist	specialist
spielen	play
spielsucht	addiction_to_gamble
spielwiese	play_field
spitze	front
spitze	lead
spitze	spike/n/anything_resembling_like_a_nail_in_shape
spitzer	sharpener/n/device_for_making_things_sharp
spitzfindig	subtle/a/cunning,_skillful
sporen	spore
sportunterricht	physical_education/n/curriculum_component
sprache	language
sprache	speech/n/vocal_communication
sprechgesang	speak_song_technique_of_vocal_production_halfway_between_sing_and_speak
spreizen	spread/v/to_extend,_stretch_out_(limbs_etc)
spritze	syringe/n/syringe
spröde	brittle/a/able_to_break_or_snap_easily_under_stress_or_pressure
sprühen	spray
sprung	leap/n/the_act_of_leaping
sprunghaft	rapid
spucke	spit
spucki	mostly_use_in_street_art
spülmittel	washing-up_liquid
spur	lane/n/course_for_ships_or_aircraft
staatsoberhaupt	head_of_state/n/the_chief_public_representative_of_a_nation
staatspräsident	president
stadtzentrum	city_centre
staffelei	easel/n/upright_frame_for_displaying_or_supporting_something
staffellauf	relay_race
stamm	tribe/n/group_of_people
stammzelle	stem_cell
standardisieren	standardize
standardisierung	standardization/n/process_of_complying_with_a_standard
stapeln	pile_up
staudamm	embankment_dam
staude	perennial_plant
staude	perennial
stechen	stab/v/to_pierce_or_wound_with_pointed_tool_or_weapon
stechen	sting
stecknadel	pin/n/small_device
steif	rigid/a/stiff
stein	rock
stemmen	lift
steppenzebra	plain_zebra
sterben	absquatulate/v/to_die
stetig	steady/a/regular_and_even
stetigkeit	continuity/n/notion_in_mathematics
steuerlich	of_or_pertain_to_tax
stich	sting/n/bump_on_skin_after_having_been_stung
stieg	preterite_form_of_steigen
stierkampf	bullfighting/n/a_sport_popular_in_spain_and_mexico
stift	abbey
stift	peg/n/''(cribbage)''
stimmgabel	tune_fork
stimmung	mood
stocknüchtern	stone-cold_sober
stoff	junk/n/narcotic_drug
störend	disruptive/a/causing_disrupt_or_unrest
störenfried	mischief
stößel	follower
stoßverkehr	rush_hour_traffic
stoßzahn	tusk
strafraum	penalty_area
strahl	beam
strahlung	radiation
strände	beach
straße	road/n/a_way_for_travel
stratosphäre	stratosphere
streicheln	stroke
streifenwanze	stripe_shield_bug
streitlustig	belligerent
streubombe	cluster_bomb/n/explosive_munition
stricken	knit/n/action_of_the_verb_to_knit
strickleiter	rope_ladder/n/flexible_ladder
strom	large_river
studio	studio/n/studio_flat/apartment
stuhl	stool
stummfilm	silent_movie
stunde	hour
sturmgewehr	assault_rifle/n/a_rifle
sturzkampfflugzeug	stuka
s._u.	abbreviation_of
suche	quest/n/journey_or_effort_in_pursuit_of_a_goal
suchmaschine	search_engine
suchumi	sukhumi/n/capital_city
südlich	austral/a/of,_relating_to,_or_coming_from_the_south
sudoku	sudoku/n/a_puzzle_using_numbers
summe	sum/n/quantity_obtained_by_addition_or_aggregation
sumpf	quagmire/n/swampy,_soggy_area
superzelle	supercell/n/severe_thunderstorm
surinamer	surinamese
svalbard	svalbard/n/islands_north_east_of_greenland
sweatshirt	sweater/n/knitted_jacket_worn_by_athletes_before_or_after_exercise
synekdoche	synecdoche/n/certain_figure_of_speech
synergetisch	synergistic
synthetisch	synthetic
syracuse	syracuse/n/city_in_new_york_state
syrien	syria
systemadministrator	sysadmin
systematisch	systematically
szenario	scenario
tacho	odometer
tadschikistan	tajikistan/n/republic_of_tajikistan
tafel	bar
tafel	whiteboard/n/large_vertical_writing_area
tag	day/n/period_of_24_hours
tag_des_sieges	victory_day/n/a_day_to_commemorate_victories_in_important_battles_or_wars_in_the_countries'_history
tageszeit	daytime
talsohle	bottom
talsohle	sole_of_valley
talweg	thalweg
tangens	tangent
tango	tango/n/ballroom_dance
tanja	tania/n/female_given_name
tansania	tanzania
tante	aunt/n/a_parent's_sister_or_sister-in-law
tapezieren	wallpaper/v/to_cover_with_wallpaper
tapezierspinne	purseweb_spider
tapferkeit	bravery/n/being_brave
tastatur	keyboard
tatsache	fact/n/an_honest_observation
tatsächlich	factual
tatsächlich	in_fact/r/actually,_in_truth
tau	rope
taufrisch	very_fresh
taugenichts	good-for-nothing/n/a_person_of_little_worth_or_usefulness
täuschung	deceit/n/act_or_fact_of_deceiving
taxe	cab
tee-ei	tea_ball
teekessel	teakettle/n/a_vessel_for_boiling_water_for_tea
teil	piece
teilnehmen	attend/v/to_be_present_at
teilung	pitch/n/distance_between_evenly_spaced_objects
teilziel	subgoal/n/a_lesser_goal_that_forms_part_of_a_greater_goal
telefonzelle	telephone_booth/n/a_small_enclosure_housing_a_public_telephone
tellerwäscher	dishwasher
temperaturkoeffizient	temperature_coefficient/n/physical_coefficient
terminologie	terminology/n/terms_used_in_any_business,_art,_etc
terrine	terrine/n/dish
terrine	tureen/n/broad_deep_serving_dish_for_soup_or_stew
terz	third/n/interval
tesafilm	scotch_tape/n/adhesive_tape
texas-klapperschlange	western_diamondback_rattlesnake
thanatos	thanatos/n/thanatos,_the_god_of_death
the_folding_stuff	redirect_fold_stuff
theodor	theodore/n/male_given_name
therapeut	therapist/n/one_who_provides_therapy
thermometer	thermometer/n/apparatus_used_to_measure_temperature
thermosphäre	thermosphere
thymian	thyme
thyrsus	thyrse/n/type_of_inflorescence
tief	deep/a/a_long_way_inward
tierarzt	vet/n/short_form_of_veterinary_surgeon
tierisch	bestial/a/beast-like
tierquälerei	cruelty_to_animal
tilde	tilde/n/character
tirza	tirzah/n/female_given_name
titelseite	front_page
titte	tit
tjost	joust
todesmarsch	death_march
tokelau	tokelau/n/oceanic_country
tölpel	clumsy/n/clumsy_person
tomahawk	tomahawk/n/american_indian_axe
tonne	metric_ton
torwart	goaltender/n/player_that_protects_a_goal
total	flat/r/completely
totenkopffahne	jolly_roger
totenmaske	death_mask/n/plaster_or_similar_cast
totschlag	manslaughter/n/act_of_killing_unlawfully,_but_not_wilfully
tragödie	tragedy/n/genre_of_such_works,_and_the_art_of_producing_them
trällern	trill
träne	tear/n/drop_of_clear_salty_liquid_from_the_eyes
transformieren	transmogrify/v/completely_alter_the_form_of
transparenz	transparency
transportieren	transport/v/change_the_location_of
transvestit	transvestite/n/cross-dresser
trapez	trapezium/n/polygon_with_two_parallel_sides
trapungere	prick_or_sting_violently
traubensaft	grape_juice/n/grape_juice
trauerameisenwürger	glossy_antshrike/n/a_passerine_bird_of_the_antbird_family
traumhaft	oneiric/a/resembling_a_dream
traurigkeit	unhappiness
treffen	encounter
treffen	meet/n/encounter_between_people
treffen	score/v/(intransitive)_to_earn_points_in_a_game
treffen	strike
treibhausgas	greenhouse_gas
trennen	disconnect
treten	walk
trinkgeld	tip
trog	trough
troll	troll/n/a_deliberately_inflammatory_posting_to_a_newsgroup
trommel	barrel
trompe	squinch
trompetervogel	trumpeter/n/bird_(psophiidae)
tropen	tropic
trophäe	trophy
trost	consolation
trösten	comfort/v/to_make_comfortable
trotzdem	although/c/but
trüffel	truffle
tschadisch	chadian/a/pertaining_to_chad
tschechische_republik	czech_republic/n/country_in_central_europe
tschüss	see_ya/i/goodbye,_see_you_later
tsunami	tsunami/n/large,_destructive_wave_generally_caused_by_a_tremendous_disturbance_in_the_ocean
tuberkulose	tuberculosis/n/infectious_disease
tüfteln	tinker
tunesien	tunisia
tunis	tunis/n/capital_of_tunisia
türke	turk/n/turkish_nationals
türkei	turkey
türkische_pizza	turkish_pizza
turkmenisch	turkmen
über_die_planke_gehen	walk_plank
überdurchschnittlich	above_average/a/better_than_average
übereinstimmen	compare/v/to_be_similar
übereinstimmung	accord/n/agreement_or_concurrence_of_opinion
überfallen	assault
überhandknoten	overhand_knot/n/knot
überhaupt	at_all
überhitzen	overheat
überlistung	circumvention/n/act_of_prevailing
übermacht	of_number
übermitteln	transmit
überprüfung	check
überraschung	surprise/n/something_not_expected
überreden	persuade/v/convince
übers	above
überschnappen	go_mad
überschneiden	intersect
überschrift	head/n/title
übersetzen	cross
übersetzungstechnisch	translationary
überwinden	get_over/v/to_forget,_and_move_on
überzeugt	convince/a/in_a_state_of_believing,_especially_from_evidence
überzeugung	conviction/n/firmly_held_belief
überziehen	plate/v/to_cover_the_surface_material_of_an_object_with_a_thin_coat_of_another_material
übung	problem/n/schoolwork_exercise
ueber	use_when_umlaut_character_be_not_available
uhr	~uhr
uhu	eurasian_eagle-owl
ultraleichtflugzeug	ultralight
umarmen	hug
umbenennen	rename
umfang	scope/n/breadth,_depth_or_reach_of_a_subject
umhang	cloak
umschiffen	circumnavigate/v/to_circumvent_or_bypass
umweg	detour
umweltfreundlich	environmentally_friendly/a/considered_to_inflict_little_harm_on_the_environment
umweltschützer	environmentalist
unbeabsichtigt	unintentional
unbemannt	unman
unbenutzt	unused/a/not_used
uncountable_noun	redirect_mass_noun
uneins	divide
unendlich	infinite/a/boundless,_endless
unentschieden	tie
unerhört	unheard-of
unfähig	incompetent
unfreundlich	offhand/a/curt,_unfriendly
ungebraucht	unused
ungefähr	ish/r/somewhat
ungenauigkeit	inaccuracy/n/lack_of_accuracy
ungerade	odd
ungern	reluctantly/r/in_a_reluctant_manner
ungeschminkt	not_make_up
ungeschützt	unprotected/a/not_protected
ungestüm	brash/a/impetuous_or_rash
ungewöhnlich	unordinary
ungeziefer	bug
ungezügelt	unbridle/a/without_restraint_or_boundary
unheimlich	uncanny
unproblematisch	unproblematic
unqualifiziert	unqualified/a/undescribed
unruhen	disorder/n/disturbance_of_civic_order_or_of_public_order
unschärferelation	uncertainty_principle
unsportlich	unathletic
unstetig	discontinuous
unterbewusst	subconscious
unterbringen	host
unter_dem_pantoffel	pussywhipped/a/submissive_to_or_dominated_by_one's_wife_or_other_female_partner
unterernährt	malnourish/a/suffering_from_malnutrition
unterernährung	undernourishment
untergang	downfall
unterhose	brief/n/male_underwear
unterkunft	accommodation/n/lodging
unterricht	education
unterscheidung	discrimination
unterschlupf	shelter
unterschreiben	underwrite/v/to_assume_financial_responsibility_for_something
untersuchen	investigate
unterwerfen	subdue/v/to_bring_(a_country)_under_control_by_force
unüberbrückbar	unbridgeable
unübersichtlich	unclear
unvermeidlich	inevitable
unvoreingenommenheit	impartiality/n/the_quality_of_being_impartial
unzufrieden	dissatisfy/a/feeling_or_displaying_disappointment_or_a_lack_of_contentment
unzuverlässigkeit	unreliability
urkunde	deed
urkundenbuch	book_hold_collection_of_medieval_certificate_or_document_with_common_subject_like_family_or_geographic_area_register
urschrift	original_document
urteilsvermögen	discernment/n/the_ability_to_make_wise_judgements
uruguayer	uruguayan/n/a_person_from_uruguay
usbekisch	uzbek/n/the_language
vaduz	vaduz/n/capital_of_liechtenstein
vakuum	vacuum/n/region_of_space_that_contains_no_matter
valin	valine/n/essential_amino_acid_c<sub>5</sub>h<sub>11</sub>no<sub>2</sub>
vedunkelung	obfuscation/n/act_or_process_of_obfuscating,_or_obscuring_the_perception_of_something
veganer	person_follow_vegan_diet
veit	vitus/n/male_given_name
velodrom	velodrome/n/arena_for_bicycle_racing
venetisch	venetic/n/venetic_language
venusianer	venusian/n/inhabitant_of_venus
verachten	scorn
veraltet	outdated/a/out_of_date,_old-fashioned,_antiquated
verantwortung	liability/n/debt
verbergen	dissemble/v/to_disguise_or_conceal_something
verbeugung	bow
verbindlich	oblige
verbindung	connection/n/an_established_communications_or_transportation_link
verbot	ban/n/prohibition
verboten	ban
verbrauchen	consume/v/to_use
verbrennung	burn/n/fire
verbünden	ally
verbüßen	serve
verdächtiger	suspect/n/a_person_who_is_suspected_of_something
verderben	taint/v/to_spoil_food_by_contamination
verehren	adore
verfügungsgewalt	control
verführen	seduce/v/to_entice_or_induce_someone_to_engage_in_a_sexual_relationship
vergänglichkeit	transience/n/impermanence_that_suggests_the_inevitability_of_ending_or_dying
vergänglichkeit	transitoriness
vergebens	in_vain/r/without_success
vergebung	pardon/n/forgiveness_for_an_offence
vergehen	misdemeanor/n/small_crime
vergelten	requite/v/to_retaliate
vergewaltigen	rape
vergewaltigung	rape
vergleich	comparison
vergrößern	embiggen/v/make_bigger
verhaftung	arrest/n/act_of_arresting_a_criminal,_suspect_etc
verhutzelt	shrivel
verkappt	in_disguise
verkäufer	salesman
verkäufer	vendor
verkloppen	beat_up
verkörperung	avatar/n/the_physical_embodiment_of_an_idea_or_concept
verkündigen	annunciate/v/inform_that_some_future_event_will_happen
verlangen	long
verlassen	quit/v/to_leave
verlegen	misplace/v/to_put_something_somewhere_and_then_forget_its_location
verlegen	nicht_um_worte_verlegen
verlegen	shift
verlegen	shy/a/embarrassed
verlegen	transfer
verleihen	award
verleihung	award
verleihung	conference
verletzlich	vulnerable
verlieren	shed
verlierer	loser/n/person_of_unhappy_circumstances
vermarkten	market
vermummung	cover_of_face
vermuten	suppose_someone_to_be
verrückt	crazy
verrußt	soot
verschleißen	wear_out
verschleppung	abduction
verschlimmern	make_worse
verschlossen	secretive/a/having_an_inclination_to_secrecy
verschmutzen	foul/v/to_besmirch
verschneiden	neuter
verschonen	spare
verschönerung	beautify/n/the_action_of_the_verb_to_beautify
verschwinden	vanish/v/mathematics
versicherer	insurer/n/one_who_insures
verso	reverse
verspotten	flout/v/to_scorn
verspotten	make_fun_of
verstaatlichen	socialize
verstand	mind
verstärken	amplify/v/to_increase_amplitude
verstehen	read/v/be_able_to_hear_(in_a_radio_communication)
versteinerung	petrifaction/n/condition_of_being_petrified
verstopfte	foul/v/to_become_clogged
verstorben	decease/a/no_longer_alive
verstreichen	pass
versuch	test
vertiefen	immerse/v/to_involve_deeply
vertragen	tolerate
vertrauen	trust/n/confidence_in_or_reliance_on_some_person_or_quality
vertrauen	trust/n/dependence_upon_something_in_the_future
verurteilen	condemn
verwaltung	management/n/administration
verwüstung	havoc
verzahnung	dovetail/n/carpentry_joint
verzehren	languish
verzeichnis	directory/n/list_of_names,_addresses_etc
vetternwirtschaft	cronyism/n/favoritism_to_friends_without_regard_for_their_qualifications
videokamera	camcorder/n/electronic_device
videotext	german_equivalent_of_teletext
vieleckig	polygonic
vielen	viele
viel_glück	godspeed
vielleicht	maybe/r/indicating_a_lack_of_certainty
vielseitig	miscellaneous/a/having_diverse_characteristics
vielseitig	versatile
vielsilbig	polysyllabic/a/having_more_than_one_syllable
vielversprechend	promise
viktor	victor/n/male_given_name
virus-	viral/a/relating_to_a_virus_in_biological_sense
vitalismus	vitalism/n/the_doctrine__that_life__involves_some_immaterial_"vital_force",_and_cannot_be_explained_scientifically
vogel	bird/n/person
vogelfang	birdcatching/n/the_catching_of_birds,_wildfowl
vogelspinne	bird_spider
vollenden	perfect/v/make_perfect
völlerei	gluttony
völlig	total
vollkommenheit	perfection
vollzug	execution
vom	about
vorausahnen	anticipate
vor	ago/p/past
voreingenommen	prejudicial/a/exhibiting_prejudice_or_bias
vorgeschichte	background
vorgeschichte	prehistory/n/history_of_human_culture_prior_to_written_records
vorhaut	foreskin
vorhersage	prediction
vorhersagen	predict
vorhut	avant-garde/n/(obsolete)_the_vanguard_of_an_army_or_other_force
vorhut	vanguard/n/leading_units_of_an_army
vormittag	morning
vorrichtung	rig
vorschlagen	suggest/v/to_ask_for_without_demanding
vorschreiben	dictate
vorsicht	carefulness/n/state_of_being_careful
vorsintflutlich	antediluvian/a/supremely_dated
vorsitzende	chairwoman/n/female_chairperson
vorstellung	imagination/n/a_mental_image
vortäuschen	fake/v/to_make_a_false_display_of
vorübergehen	pass_by
vorziehen	prefer
vorzugsweise	preferably
voyeur	peep_tom/n/person_who_secretly_watches_someone_to_gain_sexual_pleasure
vulkan	volcano/n/mountain_containing_a_magma_chamber
vulkanier	vulcan
vulkans	genitive_of_vulkan_volcano
wachsam	vigilant
wachsamkeit	wakefulness/n/state_of_being_wakeful
waffe	arm
wahlbeteiligung	voter_turnout
wahrheitsliebend	truthful/a/honest,_and_always_telling_the_truth
wahrnehmen	notice
wahrschau	caution
wahrscheinlich	likely/a/probable
wahrscheinlichkeit	chance/n/probability_of_something_happening
wahrscheinlichkeit	density/n/probability
waisenkind	orphan
walfisch	cetus/n/winter_constellation_of_the_northern_sky
wallaby	wallaby/n/any_of_several_species_of_marsupial
wälzen	writhe
wand	partition
wand	precipice
wanze	wiretap
waran	monitor_lizard/n/lizard_of_the_genus_''varanus''
waran	monitor_lizard
wareniki	varenyky/n/a_kind_of_dumplings
warschauer_pakt	warsaw_pact/n/pact
warteliste	wait_list/n/ordered_list_of_people_waiting_to_obtain_something
warten	service/v/to_perform_maintenance
warteschlange	enqueue/v/to_add_an_item_to_a_queue
wartung	maintenance
warzen	wart
was_..._angeht	as_for/p/regarding
waschbecken	sink/n/basin
waschecht	dyed-in-the-wool
waschecht	fast
wäschetrockner	clothe_dry
washington	washington/n/washington
wasserhund	water_dog
wasserkocher	electric_water_boiler
wasserpfeife	water_pipe/n/narcotics_smoking_device
wasserscheide	watershed/n/boundary_between_adjacent_catchment_basins
wasserski	water_ski/n/water_sport
wattenmeer	foreshore/n/part_of_a_beach
wattestäbchen	cotton_swab/n/a_small_wad_of_cotton_wrapped_around_the_end_of_a_small_rod
weg	way/n/wide_path
wegen	because_of
weggen	redirect_wegge
weglassen	leave_out/v/to_leave_out_or_to_not_include
wegrennen	run_away/v/to_flee_by_running
wegschieben	push_away
weh	woe
weibchen	female/n/an_individual_belonging_to_the_sex_that_can_give_birth
weide	willow
weidenbaum	willowtree
weigern	refuse/v/''(intransitive)''_decline_a_request_or_demand
weilen	abide/v/to_dwell
weinen	cry
weinen	weep/v/to_cry,_shed_tears
weinerlich	about_to_or_with_tendency_to_shed_tear
weinglas	wine_glass/n/glass_vessel_for_drinking_wine
weintrauben	grape
weisel	queen_bee
weisheit	sagacity/n/quality_of_being_sage
weizen	wheat/n/grain
welche	which_kind_of
welches_datum_ist_heute	what_date_be_it_today/n/what_date_is_it_today?
welk	fade
wellenlänge	wavelength
